GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fxCalculator,com.anz.fx.model,LookUpType,79,0,0,0,10,0,5,0,5,0
fxCalculator,com.anz.fx.model,CrossViaCurrency,46,0,0,0,7,0,5,0,5,0
fxCalculator,com.anz.fx.model,CurrencyPair,52,0,8,0,12,0,9,0,5,0
fxCalculator,com.anz.fx.exception,FXDetailValidationException,19,0,0,0,6,0,3,0,3,0
fxCalculator,com.anz.fx.exception,UnSupportedCurrencyException,16,0,0,0,4,0,2,0,2,0
fxCalculator,com.anz.fx,FXCalculatorApp,110,0,4,0,18,0,5,0,3,0
fxCalculator,com.anz.fx.util,Localtesting,979,0,26,0,161,0,22,0,9,0
fxCalculator,com.anz.fx.util,ExchangeRateLoader,141,0,0,0,23,0,2,0,2,0
fxCalculator,com.anz.fx.util,FXCurrencyUtil,103,0,16,0,19,0,10,0,2,0
fxCalculator,com.anz.fx.util,CrossCurrencyLookUpLoader,696,0,0,0,94,0,4,0,4,0
fxCalculator,com.anz.fx.util,CrossViaMatrixLoader,344,0,0,0,58,0,2,0,2,0
fxCalculator,com.anz.fx.service,FXCalculatorServiceImpl,264,20,18,2,49,7,14,3,5,2
